ggen,paricle,ja,fr,de,zh-cn,it,es,ru,el,da
curve,動詞,曲げる、曲がる,la courbe,Kurve,曲线,curva,curva,изгиб,καμπύλη,kurve
curve,名詞,曲線,la courbe,Kurve,曲线,curva,curva,изгиб,καμπύλη,kurve
data,名詞,データ,les données,Daten,数据,dati,datos,данные,δεδομένα,data
deal,動詞,対処する,l'accord,Deal,交易,affare,acuerdo,иметь дело,συμφωνία,del
declare,動詞,宣言する,déclarer,declare,该声明,dichiarare,declarar,объявить,δηλώνω,erklære
degree,名詞,度,degré,Grad,度,livello,la licenciatura,степень,βαθμός,grad
deliberation,名詞,熟慮,la délibération,Überlegung,审议,deliberazione,deliberación,обсуждение,σύσκεψη,overvejelse
density,名詞,密度,la densité,Dichte,密度,densità,densidad,плотность,πυκνότητα,massefylde
depart,動詞,立ち去る,départ,depart,在启程,partenza,salir,вылетать,παρεκκλίνω,afgang
depend,動詞,依存する,la dépendent,abhängig,的依赖,dipendere,depender,зависеть,εξαρτώμαι,afhænge af
derive,動詞,導出する,la dérive,derive,派生,derivare,derivar,вывести,αντλώ,Udled
describe,動詞,記述する,la décrivent,beschreiben,该描述,descrivere,describir,описывать,περιγράφω,beskrive
designate,動詞,示す,la personne désignée,designierte,在候,designare,designado,назначить,ορίζω,udpege
despite,前置詞,にもかかわらず,malgré la,trotz,尽管该,nonostante,A pesar de,несмотря на,παρά,på trods af
determination,名詞,決定、決断,la determination,Entschlossenheit,确定,determinazione,determinación,решимость,προσδιορισμός,beslutsomhed
differ,動詞,異なる,la diffèrent,abweichen,在不同,differire,diferir de,отличается,διαφέρω,afvige
dimension,名詞,寸法、次元,la dimension,Dimension,维,dimensione,dimensión,измерение,διάσταση,dimension
disadvantage,名詞,欠点,désavantage,Nachteil,缺点,svantaggio,desventaja,недостаток,μειονέκτημα,ulempe
disappear,動詞,消える,la disparaissent,verschwinden,将消失,scomparire,desaparecer,пропадать,εξαφανίζομαι,forsvinde
discover,動詞,発見する,la découverte,entdecken,该发现,scoprire,descubrir,обнаружить,ανακαλύπτω,opdage
discuss,動詞,話し合う,discuter,diskutieren,在讨论,discutere,conversar,обсуждать,συζητώ,drøfte
discussion,名詞,討論,la discussion,Diskussion,讨论,discussione,discusión,дискуссия,συζήτηση,diskussion
distant,形容詞,遠く (-> distance),lointain,ferne,遥远,distante,distante,далекий,μακρινός,fjern
distinction,名詞,区別 (-> distinct、distinguish),la distinction,Unterscheidung,区别,distinzione,distinción,различие,διάκριση,forskel
distinguish,動詞,区別する,la distinction,Unterscheidung,在区分,distinguere,distinguir,выделить,διακρίνω,skelne
divide,動詞,分割する,la fracture,divide,划分,dividere,dividir,разделять,διαιρέστε,dele
draw,動詞,描く,dessin,Unentschieden,平局,disegno,dibujar,рисовать,σχεδιάζω,tegne
dynamics,名詞,ダイナミクス、動力学,la dynamique,Dynamik,动态,dinamica,dinámica,динамика,δυναμική,Dynamik
dyne,名詞,ダイン (物理量の単位),la dyne,dyn,达因,Dyne,dina,дар,δυστυχία,Dyne
e.g.,熟語,例えば (= for example、ラテン語の exempli gratia から),par exemple le,z.B.,例如在,per esempio.,p.ej.,например,π.χ.,for eksempel.
effect,名詞,効果,l'effet,Effekt,效果,effetto,efecto,эффект,αποτέλεσμα,effekt
either,形容詞,どちらか,l'une ou l'autre,entweder,在任,o,o,либо,είτε,enten
electrical,形容詞,電気の,électrique,elektrische,电,elettrico,eléctrico,электрический,ηλεκτρικός,Elektrisk
electrodynamical,形容詞,電気的な,l'électrodynamique,electrodynamical,在电动力,elettrodinamico,electrodinámico,электродинамический,ηλεκτροδυναμικός,elektrodynamisk
element,名詞,要素,l'élément,Element,元素,elemento,elemento,элемент,στοιχείο,element
ellipsoidal,名詞,楕円の,l'ellipsoïde,ellipsenförmige,椭圆形,ellissoidale,elipsoidal,эллипсоидальный,ελλειψοειδής,ellipsoidal
employment,名詞,装置,l'emploi,Anstellung,就业,occupazione,empleo,трудоустройство,εργασία,beskæftigelse
encounter,名詞,出会い,la rencontre,Begegnung,遭遇,incontrare,encontrar,сталкиваться,συνάντηση,komme ud for
enter,動詞,入る,la saisir,Eingabe,回车,accedere,ingresar,войти,εισαγω,gå ind
entitle,動詞,題する,donnent droit,entitle,在赋予,diritto,dar derecho,право,δίνω δικαίωμα,ret
enumerate,動詞,数える,l'enumerate,enumerate,该枚举,enumerare,enumerar,перечислять,απαριθμώ,Tæller
envisage,動詞,想定する,l'envisage,ins Auge fassen,该设想,prevedere,prever,предусмотрено,εικονίζω,forestil dig
equality,名詞,等号,l'égalité,Gleichheit,平等,uguaglianza,igualdad,равенство,ισότητα,lighed
equally,副詞,等しく,tout aussi,gleichermaßen,同样的,Allo stesso modo,igualmente,в равной степени,εξίσου,ligeligt
equator,名詞,赤道,l'Équateur,Equator,赤道,equatore,ecuador,экватор,ισημερινός,ækvator
equivalent,形容詞,同じ,l'équivalent,Äquivalent,等效,equivalente,equivalente,эквивалент,ισοδύναμος,tilsvarende
error,名詞,エラー、間違い,l'erreur,Fehler,错误,errore,error,ошибка,λάθος,fejl
establish,動詞,確立する,l'établissement,etablieren,在建立,stabilire,establecer,учреждать,εγκαθιδρύω,etablere
ether,名詞,エーテル,l'éther,Ether,乙醚,etere,éter,эфир,αιθέρας,æter
evaluate,動詞,評価する,l'évaluer,Evaluierung,该评估,valutare,evaluar,оценивать,αξιολογώ,vurdere
evident,形容詞,明らかな,l'évidence,offensichtliche,在明显,evidente,evidente,очевидный,εμφανές,tydeligt
exactly,副詞,ちょうど,exactement la,genau,完全相同,Esattamente,exactamente,в яблочко,ακριβώς,Nemlig
exclude,動詞,除外する,exclure,ausschließen,排除,escludere,excluir,исключать,αποκλείω,udelukke
exclusively,副詞,もっぱら、排他的に,l'exclusivité,ausschließlich,该专,esclusivamente,exclusivamente,исключительно,αποκλειστικά,udelukkende
exert,動詞,及ぼす,l'exercent,exert,在使出,esercitare,ejercer,подать,ασκώ,udøve
exist,動詞,存在する,l'exist,exist,在存在,esistere,existir,существует,υπάρχει,eksisterer
existence,名詞,存在,l'existence,Existenz,存在,esistenza,existencia,существование,ύπαρξη,eksistens
experimentally,副詞,実験的に,expérimentalement,experimentell,该实验,sperimentalmente,experimentalmente,экспериментально,πειραματικά,Eksperimentelt
experiments,名詞 (複数形),experiment,les expériences,Experimente,实验,esperimenti,experimentos,эксперименты,πειράματα,eksperimenter
explicitly,副詞,明示的に,explicitement,ausdrücklich,在明确,esplicitamente,explícitamente,явно,ρητά,eksplicit
fact,名詞,事実,fait,Tatsache,事实,fatto,hecho,факт,γεγονός,faktum
factor,名詞,因子,facteur,Faktor,因素,fattore,factor,фактор,παράγοντας,faktor
finally,副詞,最後に,finally,schließlich,最终,finalmente,finalmente,в конце концов,τελικά,langt om længe
fixed,形容詞,一定の,fixe,fest,固定,fisso,fijado,исправлено,σταθερός,fast
footnote,名詞,脚注,la note,Fußnote,脚注,nota,nota,сноска,υποσημείωση,fodnote
footnotes,名詞 (複数形),脚注,les notes,Fußnoten,脚注,Note,notas al pie,сноски,υποσημειώσεις,fodnoter
format,名詞,フォーマット,format,Format,格式,formato,formato,формат,μορφή,format
foundation,名詞,基礎付け,la Fondation,Grundlage,基础,fondazione,Fundación,Фонд,θεμέλιο,fundament
frame,名詞,枠,cadre,Rahmen,框架,telaio,cuadro,Рамка,πλαίσιο,ramme
free,形容詞,自由な,la libre,Freiheit,免费,gratuito,libre,свободно,Ελεύθερος,ledig
friend,名詞,友人,l'ami,Freund,朋友,amico,amigo,друг,φίλος,ven
fundamental,形容詞,基本的な,Les fondamentaux,Fundamentale,根本,fondamentale,fundamental,фундаментальный,θεμελιώδης,grundlæggende
furnish,動詞,備えつける,la pâte,Eintrag,配料,fornire,amoblar,мебель,επιπλώνω,levere
furthermore,副詞,更に,En outre le,darüber hinaus,在另外,inoltre,además,более того,επί πλέον,desuden
geometrical,形容詞,幾何学的な,la géométrie,geometrische,几何,geometrico,geométrico,геометрический,γεωμετρικός,Geometrisk
geometry,名詞,幾何学,la géométrie,Geometrie,几何,geometria,geometría,геометрия,γεωμετρία,Geometri
get,動詞,得る,get,get,的get,ottenere,obtener,получить,παίρνω,få
go,動詞,行く,feu vert,unterwegs,旅途中,andare,Vamos,идти,πηγαίνω,gå
great,形容詞,大きい,grand,große,最棒的,grande,estupendo,большой,μεγάλος,store
group,名詞,群 (数学の専門用語・概念),groupe,Gruppe,群组,gruppo,grupo,группа,ομάδα,gruppe
happen,動詞,起こる,l'arrive,passieren,在发生,accadere,suceder,случаться,συμβεί,ske
homogeneity,名詞,等質性,l'homogénéité,Homogenität,同质性,omogeneità,homogeneidad,однородность,ομοιογένεια,homogenitet
how,副詞、疑問詞、関係詞,どうやって,la façon dont,wie,该怎么办,come,cómo,как,πως,hvordan
idea,名詞,概念、アイディア,l'idée,Idee,这个想法,idea,ocurrencia,идея,ιδέα,ide
imaginary,形容詞,仮想的な,l'imaginaire,Imaginärteil,虚,immaginario,imaginario,мнимый,φανταστικο,imaginært
important,形容詞,重要な,l'important,Wichtige,重要,importante,importante,важный,σπουδαίος,vigtig
inasmuch,接続詞,(inasmuch as で) だから,la mesure,insofern,在因为,in quanto,en la medida,в общении,επειδή,I det omfang
incident,形容詞,投射された,L'incident,Vorfall,事件,incidente,incidente,инцидент,περιστατικό,utilsigtet hændelse
incidental,形容詞,偶発的な,l'accessoire,Neben,附带,accidentale,incidental,случайный,τυχαίος,Tilfældig
indebt,動詞,負債を負わせる,endettent,indebt,将责成,in debito,en deuda,в долгу,χρεωμένος,i gæld
independently,副詞,単独で,indépendamment,unabhängig,该独立,indipendentemente,independientemente,независимо,ανεξάρτητα,uafhængigt
indicate,動詞,示す,l'indiquent,zeigen,该指示,indicare,indicar,указывать,υποδεικνύω,angive
indication,名詞,指示,l'indication,Angabe,指示,indicazione,indicación,Индикация,ένδειξη,tegn
inexactitude,名詞,不正確,l'inexactitude,inexactitude,该不精确,inesattezza,inexactitud,неточность,ανακρίβεια,Uforsikring
infinitesimally,副詞,無限に小さく,infinitésimale,verschwindend,在无穷,infinitesimamente,infinitesimalmente,бесконечно,απειλητικά,infinitesimalt
influence,動詞,影響を与える,l'influence,Einfluss,影响,influenza,influencia,влияние,επιρροή,indflydelse
inherent,形容詞,固有,inhérent,inhärenten,内在,inerente,inherente,присущий,συμφυής,iboende
insert,動詞,挿入する,l'insert,Einsatz,插件,inserire,insertar,вставлять,εισάγετε,indsæt
instance,名詞,例,l'instance,Instanz,实例,esempio,instancia,пример,παράδειγμα,forekomst
instead,副詞,その代わり,la place,statt,在代替,invece,en cambio,вместо,αντι αυτου,i stedet
insufficient,形容詞,不十分な,l'insuffisance,unzureichende,不足,insufficiente,insuficiente,недостаточный,ανεπαρκής,utilstrækkelig
interpretation,名詞,解釈,L'interprétation,Interpretation,解读,interpretazione,interpretación,интерпретация,ερμηνεία,Fortolkning
invariably,副詞,必ず,invariablement,immer,在不约而同,invariabilmente,invariablemente,неизменно,κατά κανόνα,altid
inverse,形容詞,逆の,l'inverse,inverse,逆,inverso,inverso,обратный,αντίστροφος,inverse
ion,名詞,イオン (化学),l'ion,Ionen,离子,ione,ion,ион,ιόν,ion
irreconcilable,形容詞,和解できない、調和しない,l'inconciliable,unversöhnliche,不可调和,inconciliabile,irreconciliable,непримиримый,ασυμβίβαστος,uforenelig
issue,動詞,発行する,problème,Thema,问题,problema,tema,проблема,θέμα,problem
itself,名詞,自体,lui-même,selbst,在自身,si,sí mismo,сам,εαυτό,sig selv
kind,名詞,種類,genre,Art,那种,tipo,tipo,Добрый,είδος,venlig
lag,名詞,遅れ,décalage,Verzögerung,滞后,ritardo,retraso,задержка,καθυστέρηση,forsinkelse
lags,名詞 (複数形),ラグ,les retards,Lags,该滞后,ritardi,retraso,отставание,καθυστερεί,forsinkelser
last,動詞,持続する,dernier,Letzte,最后,Ultimo,ultimo,последний,τελευταίος,sidst
last-mentioned,形容詞,先に述べた,dernier mentionné,letztgenannte,最后提到的,ultimo menzionato,mencionado por última vez,Последний раз,τελευταίος,Sidste nævnt
later,副詞,後,plus tard,später,后来,dopo,luego,потом,αργότερα,senere
lead,動詞,導く,la tête,Führung,带头,piombo,Plomo,привести,οδηγω,at føre
leave,動詞,退出する,congé,Verlassen,休假,partire,abandonar,оставлять,άδεια,forlade
left,名詞,左,la gauche,linke,左边,sinistra,izquierda,оставил,αριστερά,venstre
likewise,副詞,同様に,même,ebenfalls,同样的,allo stesso modo,igualmente,так же,επίσης,ligeledes
little,形容詞,少ない,la petite,kleine,小,piccolo,poco,маленький,λίγο,lille
locality,名詞,局所性,la localité,Ortschaft,当地,località,localidad,местонахождение,τοποθεσία,lokalitet
long,形容詞,長い,long,lange,长,lungo,largo,длинная,μακρύς,lang
loyal,形容詞,誠実な、義理堅い,fidèle,loyale,忠诚,leale,leal,верный,πιστός,loyal
luminiferous,形容詞,光を発する,luminifère,luminiferous,该发光性的,luminifero,luminífero,светящаяся,φωτεινός,Luminiferous
lurk,動詞,潜む,Lurk,lurk,在潜伏,nascondersi,Acechar,скрываться,ενεδρεύω,lurer
machine,名詞,機械,la machine,Maschine,机器,macchina,máquina,машина,μηχανή,maskine
magnetomotive,形容詞,起磁力の,magnétomotrice,Magneto,磁势,magnetomotive,magnetomotivo,магнитомотив,μαγνητικός,Magnetomotiv
maintain,動詞,維持する,maintenir,Aufrechterhaltung,在维持,mantenere,mantener,поддерживать,διατηρούν,opretholde
make,動詞,作る,la marque,Marke,厂名,rendere,hacer,делать,"φτιαχνω, κανω",lave
makes,動詞 (三単元),make,les marques,Marken,该品牌,fa,hace,производит,κάνει,gør
mark,動詞,印をつける,la marque,Note,标记,marchio,Marcos,отметка,σημάδι,mærke
mark,名詞,マーク,la marque,Note,标记,marchio,Marcos,отметка,σημάδι,mærke
marks,名詞 (複数形),マーク,les marques,Noten,标记,segni,marcas,Метки,σημάδια,mærker
mathematical,形容詞,数学の,la mathématique,mathematische,数学,matematico,matemático,математический,μαθηματικός,Matematisk
mean,動詞,意味する,signifier,bedeuten,意思是,significare,significar,иметь в виду,σημαίνω,betyde
meaningless,形容詞,無意味な,sens,sinnlos,无意义,senza senso,sin sentido,бессмысленный,χωρίς νόημα,meningsløs
measurement,名詞,測定,la mesure,Messung,测量,misurazione,medición,измерение,μέτρηση,måling
memoir,名詞,回顧録,mémoire,Memoiren,回忆录,memoriale,memoria,мемуар,απομνημόνευμα,Memoir
mention,動詞,言及する,la mention,Erwähnung,提,citare,mencion,упомянуть,αναφέρω,nævne
mentioned,動詞 (過去分詞),mention,dit,erwähnte,提到,menzionato,mencionado,упомянул,που αναφέρθηκαν,nævnte
merely,副詞,単に,simple,lediglich,在仅仅,semplicemente,meramente,просто,απλώς,blot
momentum,名詞,運動量 (物理の専門用語),L'élan,Momentum,势头,quantità di moto,impulso,импульс,ορμή,momentum
moreover,副詞,さらに,l'ailleurs,des Weiteren,而且在,inoltre,es más,Кроме того,Εξάλλου,i øvrigt
much,形容詞、副詞,はるかに,bien,viel,备受,tanto,mucho,много,πολύ,meget
multiply,動詞,掛ける,la multiplication,mehrfach,乘法,moltiplicare,multiplicar,умножить,πολλαπλασιάζω,formere sig
namely,副詞,つまり,savoir,nämlich,该即,vale a dire,a saber,а именно,και συγκεκριμένα,nemlig
naturally,副詞,当然,naturel,natürlich,自然,naturalmente,naturalmente,естественно,Φυσικά,naturligt
nature,名詞,自然,la nature,Natur,自然,natura,naturaleza,природа,φύση,natur
necessarily,副詞,必ずしも,nécessairement,notwendigerweise,在一定,necessariamente,necesariamente,обязательно,αναγκαίως,nødvendigvis
neglect,動詞,無視する,la négligence,Vernachlässigung,忽视,trascurare,negligencia,пренебрегать,παραμέληση,forsømme
new,形容詞,新しい,nouveau,neue,新的,nuovo,nuevo,новый,νέος,ny
next,形容詞,次の,suivant,nächste,下一个,prossimo,Siguiente,следующий,Επόμενο,Næste
nor,接続詞,...もまたない,nor,noch,在也不,né,ni,ни,ούτε,heller ikke
notation,名詞,表記法,la notation,Notation,符号,notazione,notación,обозначение,σημειογραφία,Notation
o'clock,副詞,---時,l'heure,Uhr,该点,O'Clock,en punto,Орт,ώρα,klokken
object,名詞,物体,L'object,Objekt,物体,oggetto,objeto,объект,αντικείμενο,objekt
observable,形容詞,観測可能な,l'observable,beobachtbare,可观察,osservabile,observable,наблюдаемый,αισθητός,observerbar
occupy,動詞,占有する,Occupons,besetzen,在占据,occupare,ocupar,занимать,ασχολούμαι,besætte
off,副詞,オフ,hors,Aus,关闭,spento,apagado,выключенный,μακριά από,af
old,形容詞,古い,l'ancien,alte,老人,vecchio,antiguo,старый,παλαιός,gammel
once,名詞,一度,la fois,einmal,一次,una volta,una vez,однажды,μια φορά,enkelt gang
ordinary,形容詞,一般の,l'ordinaire,Gewöhnlichen,普通,ordinario,común,обычный,συνήθης,almindelig
oscillate,動詞,振動する,la oscillent,oszillieren,在振荡,oscillare,oscilar,колебаться,ταλαντεύω,svinger
otherwise,副詞,さもないと,l'autre,sonst,否则,altrimenti,de lo contrario,в противном случае,σε διαφορετική περίπτωση,Ellers
ourselves,,自分自身,nous-mêmes,uns,在我们自己,noi stessi,Nosotros mismos,сами,εμείς οι ίδιοι,os selv
out,副詞,外に,l'out,aus,在出,fuori,afuera,вне,έξω,ud
overcome,動詞,克服する,la surmonter,Überwindung,在克服,superare,superar,превосходить,καταβάλλω,overvinde
owe,動詞,負う,devons,schulden,在欠,essere debitore,deber,быть должным,οφείλω,skylde
parallelogram,名詞,平行四辺形,parallélogramme,Parallelogramm,平行四边形,parallelogramma,paralelogramo,параллелограмм,παραλληλόγραμμο,Parallelogram
particle,名詞,粒子,la particule,Partikel,粒子,particella,partícula,частица,σωματίδιο,partikel
pass,動詞,通り抜ける,laissez-passer,Pass,通,passaggio,pasar,проходить,πέρασμα,passere
peculiar,形容詞,特有な,particulier,eigentümliche,奇特,peculiare,peculiar,своеобразный,ιδιόμορφος,ejendommelige
pendulum-clock,名詞,振り子時計,pendule d'horloge,Pendeluhr,钟摆时钟,pendolo,relój de péndulo,маятник,εκκρεμών,Pendul-klokk
perceive,動詞,認識する,la Percevoir,perceive,在感知,percepire,percibir,понимать,αντιλαμβάνομαι,erkende
perfect,形容詞,完全な,parfait,Perfekte,完美的,Perfetto,Perfecto,идеально,τέλειος,Perfekt
permanently,副詞,永久に,la permanence,dauerhaft,永久,permanentemente,permanentemente,постоянно,μόνιμα,permanent
permission,名詞,許可,la permission,Erlaubnis,许可,autorizzazione,permiso,разрешение,άδεια,tilladelse
perpendicular,形容詞,垂直な,la perpendiculaire,senkrechte,垂直,perpendicolare,perpendicular,перпендикуляр,κάθετος,vinkelret
perspicuous,形容詞,明快に,perspicuous,perspicuous,该明了,perspicuo,perspicuo,проницательный,διαυγής,perspektiv
phenomenon,名詞,現象,phénomène,Phänomen,现象,fenomeno,fenómeno,явление,φαινόμενο,fænomen
phrase,名詞,句,la phrase,Satz,词组,frase,frase,фраза,φράση,udtryk
pointing,名詞,指し示している点,pointage,Zeige,指点,puntato,apuntado,указание,στίξη,peger
pole,名詞,極,pôle,Pol,极,palo,polo,столб,Πόλος,pol
positive,形容詞,正の,positif,Positive,正,positivo,positivo,положительный,θετικός,positiv
possibility,名詞,可能性,la possibilité,Möglichkeit,可能性,possibilità,posibilidad,возможность,δυνατότητα,mulighed
potential,形容詞,潜在的な,potentiel,Potenzial,潜力,potenziale,potencial,потенциал,δυνητικός,potentiel
practical,形容詞,実用的、現実的,la pratique,praktische,实际,pratico,práctico,практичный,πρακτικός,praktisk
precede,動詞,先んずる,la précéder,precede,在上一页,precedere,preceder,предшествующий,προηγούμαι,gå forud
precise,形容詞,精密な,la précision,genaue,精确,preciso,preciso,точный,ακριβής,præcis
prepare,動詞,準備する,préparer la,Vorbereitung,在准备,preparare,preparar,подготовить,προετοιμάζω,forberede
presentation,名詞,議論,la présentation,Präsentation,演示,presentazione,presentación,презентация,παρουσίαση,præsentation
previous,形容詞,前の,la précédente,Vorherige,以前的,precedente,anterior,предыдущий,προηγούμενος,Tidligere
previously,副詞,前に,précédemment,zuvor,以前,in precedenza,previamente,ранее,προηγουμένως,tidligere
problem,名詞,問題,problème,Problem,问题,problema,problema,проблема,πρόβλημα,problem
product,名詞,積 (数学),produit,Produkt,产品,Prodotto,producto,товар,προϊόν,produkt
propagating,動詞 (現在分詞),伝播,la propagation,sich ausbreitende,传播,propagare,propagador,распространение,πολλαπλασιασμός,udbredende
propagation,名詞,伝播,la propagation,Ausbreitungs,传播,propagazione,propagación,распространение,διάδοση,Formering
proximity,名詞,近接,la proximité,Nähe,接近,prossimità,proximidad,близость,εγγύτητα,nærhed
purport,名詞,趣旨、意味,la portée,purport,主旨,pretentuare,significado,промежуточный,σκοπός,Purport
purpose,名詞,目的,but,Absicht,目的,scopo,objetivo,цель,σκοπός,formål
put,動詞,置く,la vente,Verkauf,认沽,mettere,poner,помещать,βάζω,sætte
qualify,動詞,資格を与える,qualifier,qualifizieren,该资格,qualifica,calificar,квалифицировать,έχω τα προσόντα,kvalificere
question,名詞,質問,la question,Frage,问题,domanda,pregunta,вопрос,ερώτηση,spørgsmål
quite,副詞,かなり,tout,ganz,相当,piuttosto,bastante,довольно,αρκετά,temmelig
raise,動詞,上げる,l'augmentation,Erhöhung,加薪,aumentare,elevar,поднимать,υψώνω,hæve
rapidly,副詞,すばやく,rapide,schnell,迅速,rapidamente,rápidamente,быстро,ταχέως,hurtigt
rate,名詞,割合,taux,Rate,比率,Vota,Velocidad,оценивать,τιμή,sats
rather,副詞,かなり、むしろ,lieu,eher,相当,piuttosto,bastante,скорее,μάλλον,hellere
reach,動詞,到達する,la portée,Reichweite,覆盖面,portata,alcanzar,достигать,φθάνω,nå
reach,動詞,届く,la portée,Reichweite,覆盖面,portata,alcanzar,достигать,φθάνω,nå
reduce,動詞,減る,Réduc,Verringerung,在减少,ridurre,reducir,уменьшать,περιορίζω,reducere
reflector,名詞,反射するもの,réflecteur,Reflektor,反射器,riflettore,reflector,отражатель,κάτοπτρο,Reflektor
reflexion,名詞,反射,la réflexion,Reflexion,该反思,riflessione,reflexión,отражение,αντανάκλαση,refleksion
regard,動詞,みなす,la matière,Bezug,在考虑,considerare,respecto,внимание,σχέση,betragtning
remarkable,形容詞,顕著な,remarquable,bemerkenswerte,显着,notevole,Notable,замечательный,αξιοσημείωτος,bemærkelsesværdig
remote,形容詞,遠くの,la télécommande,Fernbedienung,遥控器,a distanza,remoto,удаленный,μακρινός,fjern
remove,動詞,削除する,retirer,entfernen,去除,rimuovere,para eliminar,удалять,για να αφαιρέσετε,at fjerne
render,動詞,与える,rendu,machen,渲染,rendere,prestar,оказывать,καθιστώ,Render
reproduce,動詞,再現する,reproduire,reproduce,为重放,riprodurre,reproducir,воспроизводить,αναπαράγω,reproducere
require,動詞,要求する,l'exigent,erforderlich,的要求,richiedere,requerir,требовать,απαιτώ,kræve
requisite,形容詞,必要な,la condition,erforderliche,必要,Requisito,requisito,реквизит,απαιτούμενο,krævet
resemble,動詞,似ている,ressemblent,gleichen,在像,assomigliare,parecerse,напоминать,μοιάζω,ligne
restriction,名詞,制限,la restriction,Beschränkung,限制,restrizione,restricción,ограничение,περιορισμός,begrænsning
resultant,形容詞,結果として生じる,la résultante,sich ergeb,得到的,risultante,resultante,результирующий,επακόλουθο,resulterende
return,動詞,戻る,retour,Rückkehr,回报,Restituzione,devolver,возвращаться,ΕΠΙΣΤΡΟΦΗ,Vend tilbage
revolution,名詞,回転,la révolution,Revolution,革命,rivoluzione,revolución,революция,επανάσταση,revolution
rise,名詞,上がり,la hausse,Aufgang,崛起,salita,elevar,подниматься,αύξηση,stige
root,名詞,根、根源、平方根,la racine,Ursprung,根,radice,raíz,корень,ρίζα,rod
rule,名詞,規則,la règle,Regel,规则,regola,regla,правило,κανόνας,Herske
satisfy,動詞,満たす,satisfaire,satisfy,在满足,soddisfare,satisfacer,удовлетворять,ικανοποιώ,tilfredsstille
seat,名詞,シート,siège,Sitz,这个座位;专座;席位,posto a sedere,asiento,сиденье,έδρα,sæde
sentence,名詞,文,la phrase,Satz,这句话,frase,frase,приговор,πρόταση,dømme
sequel,名詞,続き,la suite,Fortsetzung,续集,Continuazione,continuación,продолжение,η συνέχεια,efterfølger
settle,動詞,決める,Settle,settle,在落户,fissare,asentarse,решить,εγκαθιστώ,Sæt dig
several,形容詞,いくつかの,les divers,mehr,几个,parecchi,varios,несколько,αρκετά,flere
sharp,形容詞,鋭い,la forte,scharfe,锐,affilato,agudo,острый,αιχμηρός,skarp
shorten,動詞,短縮する,Raccourcir,shorten,在缩短,accorciare,acortar,сокращать,βραχύνω,forkort
should,助動詞,,devrait,sollte,在应,dovrebbe,debería,должен,πρέπει,skulle gerne
show,動詞,示す,spectacle,Show,演出,mostrare,mostrar,показывать,προβολή,at vise
shrivel,動詞,しぼむ,ratatiner,shrivel,该枯萎,avvizzire,marchitar,сжимать,ζαρώνω,Shrivel
side,名詞,側,côté,Seite,旁边,lato,lado,сторона,πλευρά,side
similar,形容詞,同様の,la même,ähnlich,类似,simile,similar,похожий,παρόμοιος,lignende
similarly,副詞,同様に,De même la,in ähnlicher Weise,同样的,Allo stesso modo,similar,по аналогии,ομοίως,Tilsvarende
simultaneously,副詞,同時に,même temps,gleichzeitig,同时该,contemporaneamente,simultaneamente,одновременно,ΤΑΥΤΟΧΡΟΝΑ,samtidigt
solve,動詞,解決する,la solution,lösen,求解,risolvere,resolver,решать,λύσει,løse
something,名詞,何か,quelque chose,etwas,的东西,qualche cosa,alguna cosa,что-нибудь,κάτι,noget
sort,名詞,種類,genre,Art,排序,ordinare,clasificar,Сортировать,είδος,sortere
sources,名詞 (複数形),ソース,les sources,Quellen,来源,fonti,fuentes,источники,πηγές,kilder
special,形容詞,特殊な,spécial,Sonderangebot,特殊,speciale,especial,специальный,ειδικός,særlig
specify,動詞,指定する,préciser,angeben,在指定,specificare,especificar,указать,προσδιορίζω,Angiv
speed,名詞,速度,la vitesse,Geschwindigkeit,速度,velocità,velocidad,скорость,Ταχύτητα,hastighed
spring,名詞,ばね,printemps,Frühling,春天,molla,primavera,весна,άνοιξη,forår
standard,名詞,標準,standard,Standard,标准,standard,estándar,стандартный,πρότυπο,standard
standpoint,名詞,位置,point de vue,Standpunkt,的观点,punto di vista,punto de vista,точка зрения,άποψη,synspunkt
stated,動詞 (過去分詞),述べました,dit,angegebenen,该声明,ha dichiarato,fijado,заявлено,δηλωθείς,angivet
status,名詞,状態,statut,Status,状态,stato,estado,статус,κατάσταση,status
strong,形容詞,強い,fort,starke,强,forte,fuerte,сильный,ισχυρός,stærk
subsequent,形容詞,後の,la suite,anschließende,随后,successivo,subsecuente,последующий,μεταγενέστερος,efterfølgende
suffice,動詞,十分である,l'suffisent,suffice,该足矣,Basti,satisfacer,достаточно,επαρκώ,tilstrækkeligt
sufficient,形容詞,十分な,suffisant,ausreichend,充分,sufficiente,suficiente,достаточный,επαρκής,tilstrækkelig
suggestion,名詞,提案,la suggestion,Vorschlag,建议,suggerimento,sugerencia,предложение,πρόταση,forslag
summary,名詞,概要,résumé,Zusammenfassung,摘要,riepilogo,resumen,резюме,περίληψη,Resumé
superfluous,形容詞,余分な,superflu,überflüssig,多余的,superfluo,superfluo,лишний,περιττός,overflødig
superpose,動詞,重ね合わせる,superposer,superpose,在叠加,sovrappongo,superpuesto,суперпонъект,επιθέτω,Superpose
symmetrical,形容詞,対称の,symétrique,symmetrische,对称,simmetrico,simétrico,симметричный,συμμετρικός,Symmetrisk
synchronism,名詞,同期,synchronisme,Synchronität,同步性,sincronismo,sincronismo,синхронизм,συγχρονισμός,Synkronisme
