ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
kurz,短い,short,court,breve,corto,μικρός,короткая,kort,短的
Kürze,簡潔,Brevity,Brièveté,Brevità,Brevedad,Συντομία,Краткость,Kortfattethed,简洁
Ladung,充電,charge,charge,carica,cobrar,χρέωση,обвинение,oplade,收费
Lage,位置,location,emplacement,Posizione,ubicación,τοποθεσία,расположение,Beliggenhed,地点
Länge,長さ,length,longueur,lunghezza,longitud,μήκος,длина,længde,长度
langen,長いです,long,long,lungo,largo,μακρύς,длинная,lang,长
Längen,長さ,Length,Longueur,Lunghezza,Longitud,Μήκος,Длина,Længde,长度
langenden,長いです,long,long,lungo,largo,μακρύς,длинная,lang,长
längs,平行,along,sur,lungo,a lo largo de,κατά μήκος,вместе,langs med,沿着
langsam,スロー,slow,lent,Lento,lento,αργός,медленный,langsom,减缓
Lärge,大きい,Lärge,Grand,Di grandi dimensioni,Largo,Μεγάλο,Большой,Stor,大的
lassen,許可します,to let,laisser,lasciare,dejar,για να το αφήσω,позволить,at lade,使...能够
laufen,走る,to run,courir,correre,correr,τρέχω,бежать,at løbe,跑步
laufend,常に,constantly,en permanence,costantemente,constantemente,συνεχώς,постоянно,konstant,不断地
laufenden,ランニング,running,fonctionnement,in esecuzione,correr,τρέξιμο,Бег,Løb,跑步
läuft,実行,runs,courses,corse,carreras,τρέχει,пробеги,løber,运行
leeren,空にする,to empty,à vider,svuotare,para vaciar,να αδειάσω,опустошить,at tømme,清空
leicht,簡単,easy,facile,facile,fácil,Ανετα,легкий,let,简单的
Leiter,監督,director,directeur,direttore,director,διευθυντής,директор,direktør,导向器
Leiters,導体,Conductor,Conducteur,Conduttore,Conductor,Αγωγός,Проводник,Leder,导体
letzten,過去,last,dernière,Ultimo,ultimo,τελευταίος,последний,sidst,最后的
letztere,後者,latter,dernier,quest'ultimo,último,τελευταίος,последний,sidstnævnte,后者
Licht,ライト,light,lumière,luce,luz,φως,легкий,lys,光
Lichtäthers,リヒトエーテル,Licht ether,Éther de licht,Licht etere,Licht éter,Λιχτ αιθέρα,Лихт Эфир,Lichtether,Licht Ether
Lichtdruck,光圧力,Light pressure,Pression légère,Pressione leggera,Presión ligera,Ελαφριά πίεση,Легкое давление,Let tryk,轻压
Lichtdrucke,ライトプリント,Light prints,Imprimés légers,Stampe leggere,Impresiones de luz,Ελαφρές εκτυπώσεις,Световые отпечатки,Lette udskrifter,轻打印
Lichtenergie,光エネルギー,Light energy,Énergie lumineuse,Energia luminosa,Energia luminosa,ΕΝΕΡΓΕΙΑ ΦΩΤΟΣ,Световая энергия,Lysenergi,光能
Lichtgeschwindig,軽い - 心,Light -hearted,Au cœur léger,Luce -sindacale,Luminoso,Φως -Χερόχρονο,Свечие,Lethjertet,光线
Lichtgeschwindigkeit,光の速度,Speed ​​of Light,Vitesse de la lumière,Velocità di luce,Velocidad de la luz,Ταχύτητα φωτός,Скорость света,Lysets hastighed,光速
Lichtkomplex,軽い複合体,Light complex,Complexe léger,Complesso leggero,Complejo claro,Ελαφρύ συγκρότημα,Легкий комплекс,Let kompleks,光复合物
Lichtmedium,軽い材質,Light medium,Moyen léger,Medio leggero,Media luz,Ελαφρό μέσο,Легкая среда,Let medium,轻中等
Lichtquelle,光源,Light source,Source de lumière,Fonte di luce,Fuente de luz,Πηγή φωτός,Источник света,Lyskilde,光源
Lichtquelle-Beobachter,光源オブザーバー,Light source observer,Observateur de la source lumineuse,Osservatore della sorgente luminosa,Observador de fuente de luz,Παρατηρητής φωτός πηγής,Световой источник наблюдателя,Lyskildeobservatør,光源观察者
Lichtsignale,光信号,Light signals,Signaux lumineux,Segnali luminosi,Señales de luz,Φωτεινά σήματα,Световые сигналы,Lyssignaler,灯光信号
Lichtstrables,明るい,Luminous,Lumineux,Luminoso,Luminoso,Φωτεινός,Светящийся,Lysende,发光的
Lichtstrahl,ビーム,Beam,Rayonner,Trave,Haz,Δέσμη,Луч,Bjælke,光束
Lichtweg,ライトパス,Light path,Chemin léger,Percorso luminoso,Camino de luz,Φωτεινή διαδρομή,Легкий путь,Lys sti,轻路
Lichtzeichen,ライトサイン,Light sign,Signe léger,Segno luminoso,Signo ligero,Ελαφρύ σημάδι,Светлый знак,Let tegn,轻号
liefert,配達します,delivers,délivre,consegna,entregas,παραδίδει,доставляет,leverer,交付
liege,ラウンジャー,lounger,fainéant,lounger,haragán,ξαπλώστρας,зала,Lounger,躺椅
liegt,嘘,lies,mensonges,bugie,mentiras,ψέματα,вранье,løgne,谎言
linear,線形,linear,linéaire,lineare,lineal,γραμμικός,линейный,lineær,线性
lineare,線形,linear,linéaire,lineare,lineal,γραμμικός,линейный,lineær,线性
Linie,ライン,line,ligne,linea,línea,γραμμή,линия,linje,线
Linien,線,Lines,Lignes,Linee,Líneas,Γραμμές,Линии,Linjer,线
Longitudinale,縦断的,Longitudinal,Longitudinal,Longitudinale,Longitudinal,Γεωγραφικού μήκους,Продольный,Langsgående,纵
Lorentzschen,ローレンツシェン,Lorentzschen,Lorentzschen,Lorentzschen,Lorentzschen,Λοροστένιος,Лоренцшен,Lorentzschen,洛伦茨申
lösen,解決する,solve,résoudre,risolvere,resolver,λύσει,решать,løse,解决
Macht,作る,Makes,Fait du,Fa,Hace,Κάνει,Производит,Gør,制作
Mag,お気に入り,Like,Comme,Piace,Me gusta,Σαν,Нравиться,Synes godt om,喜欢
Magnet,磁石,magnet,aimant,magnete,imán,μαγνήτης,магнит,magnet,磁铁
Magnetfeld,磁場,Magnetic field,Champ magnétique,Campo magnetico,Campo magnético,Μαγνητικό πεδίο,Магнитное поле,Magnetfelt,磁场
magnetisch,磁気,magnetic,magnétique,magnetico,magnético,μαγνητικός,магнитный,Magnetisk,磁的
magnetomotorischen,磁気運動,MagnetoMotor,Magnétomotrice,Magnetomotore,Magnetomotor,Μαγνητοτόνος,Магнитомотор,Magnetomotor,磁运动员
Man,1,One,Une,Uno,Una,Ενας,Один,En,一
manche,いくつか,some,quelques,alcuni,alguno,μερικοί,немного,nogle,一些
Masse,寸法,Dimensions,Dimensions,Dimensioni,Dimensiones,Διαστάσεις,Габаритные размеры,Dimensioner,方面
Massen,大衆,Masses,Masses,Masse,Masas,Μάζες,Массы,Masser,群众
Massenzahl,質量数,Mass number,Nombre de masse,Numero di Massa,Número de masa,Μαζικός αριθμός,Массовое число,Massenummer,质量数
Maßstab,規模,scale,échelle,scala,escala,κλίμακα,шкала,vægt,规模
Maßstabe,規模,Scale,Échelle,Scala,Escala,Κλίμακα,Шкала,vægt,规模
Maßstäbe,基準,Standards,Normes,Standard,Estándares,Πρότυπα,Стандарты,Standarder,标准
Maßstabes,規模,Scale,Échelle,Scala,Escala,Κλίμακα,Шкала,vægt,规模
materiellen,素材,material,Matériel,Materiale,material,υλικό,материал,materiale,材料
materieller,素材,material,Matériel,Materiale,material,υλικό,материал,materiale,材料
mathematische,数学,mathematical,mathématique,matematico,matemático,μαθηματικός,математический,Matematisk,数学
Maxwell,マックスウェル,Maxwell,Maxwell,Maxwell,Maxwell,Maxwell,Максвелл,Maxwell,麦克斯韦
Maxwell-Hertzschen,Maxwell-Hertzschen,Maxwell-Hertzschen,Maxwell-hertzschen,Maxwell-Hertzschen,Maxwell-Hertzschen,Maxwell-Hertzschen,Максвелл-Херцшен,Maxwell-Hertzschen,麦克斯韦 - 赫兹申
Maxwellschen,マックスウェルシェン,Maxwellschen,Maxwellschen,Maxwellschen,Maxwellschen,Maxwellschen,Максвеллшен,Maxwellschen,麦克斯韦
may,5月,May,Peut,Maggio,Mayo,Ενδέχεται,Май,Kan,可能
Mechanik,力学,mechanics,mécanique,meccanica,mecánica,Μηχανική,механика,mekanik,力学
mechanischen,機械,mechanical,mécanique,meccanico,mecánico,μηχανικός,механический,mekanisk,机械的
mehr,もっと,more,Suite,Di più,más,περισσότερο,более,mere,更多的
mein,私の,my,ma,mio,mi,μου,мой,min,我的
meiner,私の,mine,mien,il mio,mía,δικος μου,мой,mine,矿
meinsamen,一般,common,commun,Comune,común,κοινός,общий,almindelige,常见的
menge,額,amount,montant,Quantità,Monto,ποσό,количество,beløb,数量
messen,測定します,measure up,être à la hauteur,misura,valorar,μέτρηση,измерить,måle op,达到
mething,mhinese,mething,faire des mèches,mething,MIO,μέγιστος,что -то,lyser,花
Methode,方法,method,méthode,metodo,método,μέθοδος,метод,metode,方法
metrisch,メトリック,metric,métrique,metrica,métrico,μετρικός,показатель,metrisk,公制
mir,自分,me,moi,me,yo,μου,мне,mig,我
mißlungen,不合格,fail,échouer,fallire,fallar,αποτυγχάνω,потерпеть неудачу,svigte,失败
mißt,対策,measures,les mesures,le misure,medidas,μέτρα,меры,foranstaltninger,措施
mit,と,With,Avec,Insieme a,Con,Με,С,Med,和
miteinander,共通性,commonality,point en commun,comunanza,comúnidad,συνήθη,общность,fælles,通用性
mithin,したがって,therefore,Donc,dunque,por lo tanto,επομένως,следовательно,derfor,所以
mitteilen,伝える,communicate,communiquer,comunicare,comunicar,ΕΠΙΚΟΙΝΩΝΩ,общаться,kommunikere,交流
mittelbaren,間接,indirect,indirect,indiretto,indirecto,έμμεσος,косвенное,indirekte,间接
Mittelpunkt,集中,Focus,Se concentrer,Messa a fuoco,Enfoque,Συγκεντρώνω,Фокус,Fokus,重点
mittels,のによって,by means of,au moyen de,per mezzo di,por medio de,με τη βοήθεια,посредством,ved hjælp af,通过
mittelsim,真ん中,middle,milieu,mezzo,medio,Μέσης,середина,midten,中间
mittelt,中くらい,medium,moyen,medio,medio,Μεσαίο,средний,medium,中等的
modifiziert,修正,modified,modifié,modificata,modificado,τροποποιημένος,модифицированный,ændret,修改的
möge,五月,may,peut,Maggio,mayo,ενδέχεται,май,kan,可能
mögen,好きに,to like,aimer,piacere,gustar,να αρεσει,нравится,at lide,喜欢
möglich,可能,possible,possible,possibile,posible,δυνατόν,возможный,muligt,可能的
Moment,一瞬,moment,moment,momento,momento,στιγμή,мгновенный,øjeblik,片刻
mont,モン,mont,mont,Mont,monte,όρνιθος,Монт,Mont,蒙特
multiplizierten,乗算,multiplied,multiplié,moltiplicato,multiplicado,πολλαπλασιασμένος,умножен,ganget,乘以
müssen,した方が良い,have to,devoir,dovere,tengo que,πρέπει,иметь,skal,必须
müßte,すべきだった,should have,avoir dû,avrebbe dovuto,debería tener,θα έπρεπε να,должен иметь,skulle have,应该有
nach,後,after,après,dopo,después,μετά,после,efter,后
nächsten,次,next,Suivant,prossimo,Siguiente,Επόμενο,следующий,Næste,下一个
näherte,近づいた,approached,approché,si avvicinò,abordado,προσεγγισμένος,приблизился,nærmede sig,接近
nämlich,すなわち,namely,à savoir,vale a dire,a saber,και συγκεκριμένα,а именно,nemlig,即
nämlichen,同じ,same,même,stesso,mismo,ίδιο,такой же,samme,相同的
Natur,自然,Nature,La nature,Natura,Naturaleza,Φύση,Природа,Natur,自然
natürlich,当然,naturally,naturellement,naturalmente,naturalmente,Φυσικά,естественно,naturligt,自然
neben,次,Next,Prochain,Prossimo,próximo,Επόμενο,Следующий,Næste,下一个
nehmen,取った,take,prendre,prendere,tomar,παίρνω,брать,tage,拿
nennen,名付ける,to name,nommer,per nominare,nombrar,ονομάζω,назвать,at navngive,命名
Newtonschen,ニュートニアン,Newtonian,Newtonien,Newtoniano,newtoniano,Νευρώνας,Ньютоновский,Newtonian,牛顿
nicht,いいえ,Not,Pas,Non,No,Δεν,Нет,Ikke,不是
nichts,何もない,Nothing,Rien,Niente,Nada,Τίποτα,Ничего такого,Ikke noget,没有什么
Nimmt,取る,Takes,Prendre des prises,Prende,Toma,Παίρνει,Принимает,Tager,带
niori,ニオリ,niori,Niori,niori,niori,νιόρια,Ниори,NIORI,Niori
noch,まだ,still,toujours,ancora,todavía,ακόμη,Все еще,Stadig,仍然
non,非,non,non,non,no,μη,не,ikke,非
not,必要,need,besoin,bisogno,necesitar,χρειάζομαι,необходимость,brug for,需要
notwendigen,必要,necessary,nécessaire,necessario,necesario,απαραίτητη,необходимый,nødvendig,必要的
Null,ゼロ,zero,zéro,zero,cero,μηδέν,нуль,nul,零
Nullpunkt,ゼロ,Zero,Zéro,Zero,Cero,Μηδέν,Нуль,Nul,零
nume,番号,number,Numéro,numero,número,αριθμός,количество,nummer,数字
Nun,それで,so,alors,Così,asi que,Έτσι,так,så,所以
nur,それだけ ,only ,seulement ,solo ,solamente ,μόνα,Только ,Kun,只要 
obachter,大工,carpenter,Charpentier,falegname,carpintero,ξυλουργός,плотник,tømrer,木匠
oben,その上,above,au dessus,sopra,arriba,πάνω από,выше,over,以上
Ober,アッパー,Upper,Plus haut,Superiore,Superior,Ανώτερος,Верхний,Øverst,上
Oberfläche,水面,surface,surface,superficie,superficie,επιφάνεια,поверхность,overflade,表面
obigen,その上,above,au dessus,sopra,arriba,πάνω από,выше,over,以上
Objekte,オブジェクト,Objects,Objets,Oggetti,Objetos,Αντικείμενα,Объекты,Genstande,对象
oder,また,or,ou,o,o,ή,или же,eller,或者
Offenbar,どうやら,Apparently,Apparemment,Apparentemente,Aparentemente,Προφανώς,По всей видимости,Tilsyneladende,显然
Ohne,それなし,Without,Sans pour autant,Senza,Sin que,Χωρίς,Без,Uden,没有
Operation,手術,surgery,opération,chirurgia,cirugía,χειρουργική επέμβαση,операция,kirurgi,手术
Opération,手術,Surgery,Opération,Chirurgia,Cirugía,Χειρουργική επέμβαση,Операция,Kirurgi,手术
Operationen,オペレーション,Operations,Opérations,Operazioni,Operaciones,Πράξεις,Операции,Operationer,操作
Optik,光学,optics,optique,ottica,óptica,οπτική,оптика,optik,光学
optischen,光学,optical,optique,ottico,óptico,οπτικός,оптический,optisk,光学的
or,また,or,ou,o,o,ή,или же,eller,或者
ordnet,アレンジ,arranged,organisé,organizzato,organizado,διατεταγμένα,согласованный,arrangeret,布置
Ordnung,注文,Order,Ordre,Ordine,Ordenar,Σειρά,Заказ,Bestille,命令
Ort,位置,location,emplacement,Posizione,ubicación,τοποθεσία,расположение,Beliggenhed,地点
Orte,場所,places,des endroits,posti,lugares,μέρη,места,steder,地方
Orten,場所,Place,Place,Posto,Lugar,Θέση,Место,Placere,地方
oszillierender,振動,oscillating,oscillant,oscillante,oscilante,ταλαντευόμενος,колеблюсь,svingende,振荡
over,以上,over,plus de,Sopra,sobre,πάνω από,над,over,超过
Paragraph,段落,paragraph,paragraphe,paragrafo,párrafo,παράγραφος,параграф,afsnit,段落
Parallel,平行,Parallel,Parallèle,Parallelo,Paralela,Παράλληλο,Параллель,Parallel,平行
parallelbewegten,平行,parallel,parallèle,parallelo,paralela,παράλληλο,параллель,parallel,平行
Parallelbewegung,平行な動き,Parallel movement,Mouvement parallèle,Movimento parallelo,Movimiento paralelo,Παράλληλη κίνηση,Параллельное движение,Parallel bevægelse,平行运动
Parallelogramm,平行四辺形,parallelogram,parallélogramme,parallelogramma,paralelogramo,παραλληλόγραμμο,параллелограмм,Parallelogram,平行四边形
Paralleltransformationen,平行変換,Parallel transformations,Transformations parallèles,Trasformazioni parallele,Transformaciones paralelas,Παράλληλοι μετασχηματισμοί,Параллельные преобразования,Parallelle transformationer,并行转换
Paralleltranslationsbewegung,平行翻訳ムーブメント,Parallel translating movement,Mouvement de traduction parallèle,Parallelo traduzione del movimento,Movimiento de traducción paralela,Παράλληλη μεταφράζοντας κίνηση,Параллельный перевод движения,Parallel oversættelse af bevægelse,平行翻译运动
pflegt,栄養,nourishes,nourrir,nutri,nutre,θρέφει,питает,nærer sig,滋养
Phänomen,現象,phenomenon,phénomène,fenomeno,fenómeno,φαινόμενο,явление,fænomen,现象
Phänomenen,現象,Phenomena,Phénomènes,Fenomeni,Fenómenos,Πρωτοφανής,Явления,Fænomener,现象
Physik,物理,physics,la physique,fisica,física,η φυσικη,физика,Fysik,物理
physikalisch,物理的に,physically,physiquement,fisicamente,físicamente,φυσικώς,физически,fysisk,身体上
Physikalische,物理的,Physical,Physique,Fisico,Físico,Φυσικός,Физический,Fysisk,身体的
physikalischen,物理的,physical,physique,fisico,físico,φυσικός,физический,fysisk,身体的
physikalischer,物理的,physical,physique,fisico,físico,φυσικός,физический,fysisk,身体的
polygonale,多角形,polygonal,polygonal,poligonale,poligonal,πολυγωνικός,полигональный,polygonal,多边形
polygonalen,多角形,polygonal,polygonal,poligonale,poligonal,πολυγωνικός,полигональный,polygonal,多边形
ponderabeln,熟考,ponder,réflechir,riflettere,reflexionar,ζυγίζω με το νουν,обдумывать,Ponder,思考
ponderable,熟考します,ponderable,pondérable,ponderabile,ponderable,ζυγιστός,размышляющий,overvejes,可容纳
ponderomotorischen,ポンデロモーター,ponderomotor,pondéromotrice,ponderomotor,ponderomotor,διαλογιστής,Пондеромотор,Ponderomotor,蓬松运动
positiv,ポジティブ,positive,positif,positivo,positivo,θετικός,положительный,positiv,积极的
Potential,潜在的な,potential,potentiel,potenziale,potencial,δυνητικός,потенциал,potentiel,潜在的
Potenzen,強力,Potencies,Puissances,Potenze,Potencias,Δυνάμεις,Потенции,Potencies,电力
poze,ポーズ,poze,faire pizer,Poze,poze,πύργος,Помея,Poze,poze
praktischeren,より実用的です,more practical,plus pratique,più pratico,mas practico,πιο πρακτικός,более практичным,mere praktisk,更实用
Präzi,沈殿します,Precipeate,Précipitation,Precipitato,Precipitar,Καθοδηγώ,Проса,Precipeat,沉淀
prin,プリン,prin,cruche,Prin,prin,εκρίνομαι,прин,prin,普林
Prinzip,原理,principle,principe,principio,principio,αρχή,принцип,princip,原则
Prinzipes,原理,Principle,Principe,Principio,Principio,Αρχή,Принцип,Princip,原则
Prinzipien,原則,Principles,Des principes,I principi,Principios,Αρχές,Принципы,Principper,原则
Prinzips,原理,Principle,Principe,Principio,Principio,Αρχή,Принцип,Princip,原则
pro,あたり,Per,Par,Per,Por,Ανά,Перемещение,Om,每
Problem,問題,problem,problème,problema,problema,πρόβλημα,проблема,problem,问题
Probleme,問題,Problems,Problèmes,I problemi,Problemas,Προβλήματα,Проблемы,Problemer,问题
Problemen,問題,Problems,Problèmes,I problemi,Problemas,Προβλήματα,Проблемы,Problemer,问题
Produkt,製品,product,produit,Prodotto,producto,προϊόν,товар,produkt,产品
Prozesse,プロセス,Processes,Processus,Processi,Procesos,Διαδικασίες,Процессы,Processer,过程
Prozessen,プロセス,Processes,Processus,Processi,Procesos,Διαδικασίες,Процессы,Processer,过程
Prüfung,テスト,test,test,test,prueba,δοκιμή,тест,prøve,测试
Punkt,点,Point,Indiquer,Punto,Punto,Σημείο,Точка,Punkt,观点
Punkte,ポイント,Points,Points,Punti,Puntos,Σημεία,Точки,Punkter,点
Punkten,スコア,Score,Score,Punto,Puntaje,Σκορ,Счет,Score,分数
Punktes,点,Point,Indiquer,Punto,Punto,Σημείο,Точка,Punkt,观点
punktförmige,ポイント - シェイプ,point -shaped,en forme de point,Punti a forma di,en forma de punto,Σημείο -σχηματισμένο,точка -форма,punkt -formet,点形
punktförmiger,ポイント - シェイプ,point -shaped,en forme de point,Punti a forma di,en forma de punto,Σημείο -σχηματισμένο,точка -форма,punkt -formet,点形
Radius,半径,radius,rayon,raggio,radio,ακτίνα κύκλου,радиус,radius,半径
rar,レア,rare,rare,raro,extraño,σπάνιος,редкий,sjælden,稀有的
rasch,急速,rapid,rapide,rapido,rápido,ταχύς,стремительный,hurtig,迅速的
Raum,スペース,Space,Espace,Spazio,Espacio,Χώρος,Пространство,Plads,空间
Raume,部屋,Room,Chambre,Camera,Habitación,Δωμάτιο,Номер,Værelse,房间
Raumes,部屋,Room,Chambre,Camera,Habitación,Δωμάτιο,Номер,Værelse,房间
Raumteil,部屋の一部,Part of the room,Partie de la pièce,Parte della stanza,Parte de la habitación,Μέρος του δωματίου,Часть комнаты,En del af rummet,房间的一部分
Rechnung,請求書,invoice,facture d'achat,fattura,factura,τιμολόγιο,счет,faktura,发票
rechten,右,right,droit,Giusto,Correcto,σωστά,Правильно,ret,正确的
Rede,スピーチ,speech,parole,discorso,discurso,ομιλία,речь,tale,演讲
reflektiert,反射,reflected,réfléchi,riflesso,reflejado,αντανακλασμένος,отражен,reflekteret,反映
reflektierte,反射,reflected,réfléchi,riflesso,reflejado,αντανακλασμένος,отражен,reflekteret,反映
Reflexion,反射,reflection,réflexion,riflessione,reflexión,αντανάκλαση,отражение,afspejling,反射
Regel,ルール,Rule,Régner,Regola,Regla,Κανόνας,Правило,Herske,规则
Reihe,行,Row,Ligne,Riga,Fila,Σειρά,Строка,Række,排
Relation,関係,relation,relation,relazione,relación,σχέση,связь,relation,关系
relativ,相対的,relative,relatif,parente,pariente,συγγενής,родственник,i forhold,相对的
Relativbewegung,相対的な動き,Relative movement,Mouvement relatif,Movimento relativo,Movimiento relativo,Σχετική κίνηση,Относительное движение,Relativ bevægelse,相对运动
Relativität,相対性理論,relativity,relativité,relatività,relatividad,σχετικότητα,относительность,relativitet,相对论
Relativitäts,関連性,Relativeness,Relativité,Relatività,Relatividad,Σχετικότητα,Относительность,Relativitet,相对性
Relativitätsprinzip,相対性理論の原則,Relativity principle,Principe de relativité,Principio di relatività,Principio de relatividad,Αρχή σχετικότητας,Принцип относительности,Relativitetsprincip,相对性原则
Resultat,結果,result,résultat,risultato,resultado,αποτέλεσμα,результат,resultat,结果
Resultate,結果,Results,Résultats,Risultati,Resultados,Αποτελέσματα,Полученные результаты,Resultater,结果
Resultaten,結果,Results,Résultats,Risultati,Resultados,Αποτελέσματα,Полученные результаты,Resultater,结果
Resultates,結果,Result,Résultat,Risultato,Resultado,Αποτέλεσμα,Результат,Resultat,结果
resultierende,結果,resulting,résultant,risultante,resultante,με αποτέλεσμα,в результате,resulterer,结果
resultiert,結果として,resulted,abouti,risultato,resultado,είχε ως αποτέλεσμα,в результате,resulterede,结果
Richtung,方向,Direction,Direction,Direzione,Dirección,Κατεύθυνση,Направление,Retning,方向
Richtungs,方向,Directional,Directionnel,Direzionale,Direccional,Κατευθυντήριος,Направленный,Retningsbestemt,方向
Richtungskosinus,方向性コサイン,Directional cosine,Cosin directionnel,Coseno direzionale,Coseno direccional,Κατευθυντικό συνημίτονο,Направленный косинус,Retningskosinus,方向余弦
rischen,リック,ric,ric,Ric,rico,καραμέλα,рик,Ric,Ric
Rolle,役割,role,rôle,ruolo,role,ρόλος,роль,rolle,角色
Rotationsellipsoides,回転 - ソリプソイド,Rotation -solipsoides,Rotation -solipoïdes,Rotazione -silipsoides,Rotación -solipsoides,Περιστροφή -Solipsoides,Вращение -Solipsoides,Rotation -Solipsoides,旋转-Solipsoides
ruben,ロッド,rod,canne à pêche,asta,varilla,ράβδος,стержень,Rod,竿
rubenden,スクラッチ,scratch,se gratter,graffiare,rascar,γρατσουνιά,царапать,kradse,刮
Rubt,ロッド,Rod,Canne à pêche,Asta,Varilla,Ράβδος,Стержень,Rod,杆
rücksichtigung,考慮,consideration,considération,considerazione,consideración,θεώρηση,рассмотрение,betragtning,考虑
Rücktransformieren,壊す,Break down,Panne,Guasto,Descomponer,Επαθε βλάβη,Авария,Sammenbrud,分解
Ruhe,静かな,Quiet,Calme,Silenzioso,Tranquilo,Ησυχια,Тихо,Rolige,安静的
ruhen,休み,rest,le repos,riposo,descansar,υπόλοιπο,отдыхать,hvile,休息
ruhend,休憩,resting,repos,riposare,de descanso,ανάπαυση,отдых,hviler,休息
ruhende,休憩,resting,repos,riposare,de descanso,ανάπαυση,отдых,hviler,休息
ruhendem,休憩,resting,repos,riposare,de descanso,ανάπαυση,отдых,hviler,休息
ruhenden,休憩,resting,repos,riposare,de descanso,ανάπαυση,отдых,hviler,休息
ruhender,睡眠状態,dormant,dormant,dormiente,latente,αδρανές,бездействующий,slumrende,休眠
ruhendes,休憩,resting,repos,riposare,de descanso,ανάπαυση,отдых,hviler,休息
Ruht,休む,Rests,Repos,Riposo,Reposo,Στηρίζεται,Отдых,Hviler,休息
sage,伝説,legend,Légende,leggenda,leyenda,θρύλος,легенда,legende,传奇
sagen,言う,to say,dire,dire,decir,να πω,сказать,at sige,说
samen,シード,seed,planter,seme,semilla,σπόρος,семя,frø,种子
samt,ベルベット,velvet,velours,velluto,terciopelo,βελούδο,бархат,fløjl,天鹅绒
Satz,文,Sentence,Phrase,Frase,Frase,Πρόταση,Приговор,Dømme,句子
Sätze,文,sentences,Phrases,frasi,oraciones,προτάσεις,фразы,sætninger,句子
schaffen,作成,create,créer,creare,crear,δημιουργώ,Создайте,skab,创造
scheinbar,一見,seemingly,apparemment,apparentemente,aparentemente,φαινομενικώς,по-видимому,tilsyneladende,似乎
scheinen,あるようです,seem to be,semble être,sembrano essere,parece ser,φαίνεται να είναι,кажется,ser ud til at være,似乎是
schen,男,man,homme,uomo,hombre,άνδρας,человек,mand,男人
schieden,離婚,divorce,divorcer,divorzio,divorcio,διαζύγιο,развод,skilsmisse,离婚
schiedener,違う,different,différent,diverso,diferente,διαφορετικός,другой,forskellige,不同的
schlechtweg,悪い,bad,mal,cattivo,malo,κακό,Плохо,Dårligt,坏的
schleunigungen,加速,accelerations,accélérations,accelerazioni,aceleraciones,επιταχύνσεις,ускорения,Accelerationer,加速度
schließt,閉じます,closes,se ferme,chiude,cierre,κλείνω,закрывается,lukker,关闭
Schlusse,最後の,Final,Final,Finale,Final,Τελικός,Финал,Endelig,最后
schnell,早く,quickly,rapidement,velocemente,rápidamente,γρήγορα,быстро,hurtigt,迅速地
schon,美しい,beautiful,belle,Bellissima,hermoso,πανεμορφη,красивая,smuk,美丽的
schreiben,書きます,write,écrivez,scrivere,escribe,γράφω,записывать,skrive,写
schrumpfen,縮む,shrink,rétrécir,restringersi,encogerse,μαζεύω,"сокращаться, сжиматься",krympe,收缩
Schwierigkeiten,困難,difficulties,des difficultés,le difficoltà,dificultades,δυσκολίες,трудности,vanskeligheder,困难
schwindigkeit,めまいが,dizzy,vertigineux,dare le vertigini,mareado,ζαλισμένος,головокружительный,svimmel,晕眩的
schwindigkeitsvektor,めまいベクター,dizzy vector,vecteur étourdi,vettoriale vertigini,vector mareado,ζαλισμένος διάνυσμα,Диззий вектор,Dizzy Vector,头晕矢量
sehen,見る,see,voir,vedere,ver,βλέπω,видеть,se,看
sehr,とても,very,très,molto,muy,πολύ,очень,meget,非常
sei,なれ,be,être,essere,ser,είναι,быть,være,是
Seien,なれ,Be,Être,Essere,Ser,Είναι,Быть,Være,是
sein,なれ,be,être,essere,ser,είναι,быть,være,是
seine,彼の,his,le sien,il suo,su,του,его,hans,他的
seinen,彼の,his,le sien,il suo,su,του,его,hans,他的
seiner,彼の,his,le sien,il suo,su,του,его,hans,他的
Seite,側,side,côté,lato,lado,πλευρά,сторона,side,边
Seiten,ページ,pages,pages,pagine,páginas,σελίδες,страницы,sider,页面
Sek,秒,Sec,Seconde,Sec,Segundo,Δευτερόλεπτο,Раздел,Sec,秒
Sekunde,2番目,second,deuxième,secondo,segundo,δεύτερος,второй,sekund,第二
senkrecht,垂直,perpendicular,perpendiculaire,perpendicolare,perpendicular,κάθετος,перпендикуляр,vinkelret,垂直
senkrechten,垂直,vertical,vertical,verticale,vertical,κατακόρυφος,вертикальный,lodret,垂直的
setze,設定,setting,paramètre,ambientazione,ajuste,σύνθεση,параметр,indstilling,环境
Setzen,置く,Put,Mettre,Mettere,Poner,Βάζω,Помещать,Sætte,放
Setzt,プット,Puts,Put,Mette,Pone,Βάζω,Путы,Sætter,推杆
sich,自体,itself,lui-même,si,sí mismo,εαυτό,сам,sig selv,本身
sichtig,見える,visible,visible,visibile,visible,ορατός,видимый,synlig,可见的
sie,あなた,you,tu,voi,tú,εσείς,ты,du,你
sieht,見ます,sees,voir,vede,visión,βλέπει,видит,ser,看到
sierung,回復,reinstatement,réintégration,reintegrazione,reinstalación,αποκατάσταση,восстановление,genindførelse,复职
